BYSID,BYTID,GENDER,J007C,BYAID,BYHID,BYS01001,BYS01002,BYS01003,BYS01004,BYS01005,BYS01006C,BYS01007,BYS01008,BYS02001,BYS02002,BYS02003,BYS02004,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS02012,BYS02013,BYS03001,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS04007,BYS04008,BYS04009,BYS04010,BYS04011,BYS04012,BYS05001,BYS05002C,BYS05003,BYS05004C,BYS05005C,BYS05006,BYS05007C,BYS06001,BYS06002,BYS06003,BYS06004,BYS06005,BYS07001,BYS07002,BYS07003,BYS07004,BYS07005,BYS07006,BYS07007,BYS07008,BYS07009,BYS07010,BYS07011,BYS07012,BYS07013,BYS07014,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07022,BYS07023,BYS07024,BYS07025,BYS07026,BYS07027,BYS07028,BYS07029,BYS08001,BYS08002,BYS08003,BYS08004,BYS08005,BYS08006,BYS08007,BYS08008,BYS09001,BYS09002,BYS09003,BYS09004,BYS10001,BYS10002,BYS10003,BYS10004,BYS10005,BYS10006,BYS10007,BYS10008,BYS10009,BYS10010,BYS10011,BYS10012,BYS10013,BYS10014,BYS10015,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS11017,BYS11018,BYS12001,BYS12002,BYS12003,BYS12004,BYS12005,BYS12006,BYS12007,BYS12008,BYS12009,BYS12010,BYS12011,BYS12012,BYS12013,BYS12014,BYS12015,BYS12016,BYS12017,BYS12018,BYS12019,BYS12020,BYS12021,BYS12022,BYS12023,BYS12024,BYS12025,BYS13001,BYS14001,BYS14002,BYS14013,BYS14014,BYS14025,BYS14026,BYS14027C,BYS14027C1,BYS14028,BYS15001,BYS15002C,BYS15003,BYS15004,BYS15005,BYS15006,BYS15007,BYS15008,BYS15009,BYS15010,BYS15011,BYS16001,BYS16002,BYS16003,BYS16004,BYS16005,BYS16006,BYS16007,BYS16008,BYS17001,BYS17002,BYS17003,BYS17004C,BYS17005,BYS17006,BYS17007,BYS17008,BYS17009C,BYS17010,BYS17011,BYS18001,BYS18002,BYS18003C,BYS18004,BYS18005,BYS18006,BYS18007,BYS18008,BYS18009,BYS18010,BYS18011,BYS19001,BYS20001,BYS20002,BYS20003,BYS20004,BYS20005,BYS20006,BYS20007,BYS20008,BYS20009,BYS20010,BYS20011,BYS20012,BYS20013,BYS20014,BYS20015,BYS20016,BYS20017,BYS20018,BYS20019,BYS20020,BYS20021,BYS20022,BYS21001,BYS21002,BYS21003,BYS21004,BYS21005,BYS21006,BYS21007,BYS21008,BYS21009,BYS21010,BYS21011,BYS21012,BYS21013,BYS22001,BYS22002,BYS22003,BYS22004,BYS22005,BYS22006,BYS22007,BYS22008,BYS22009,BYS22010,BYS22011,BYS22012,BYS22013,BYS22014,BYS22015,BYS22016,BYS22017,BYS23001,BYS23002,BYS23003,BYS23004,BYS24001,BYS24002,BYS24003,BYS24004,BYS24005,BYS25001,BYS25002,BYS25003,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26008,BYS26009,BYS26010,BYS27001,BYS27002,BYS27003,BYS27004,BYS27006,BYS27007,BYS27008,BYS27009,BYS27010,BYS27011,BYS27012,BYS27013,BYS27020,BYS29001,BYS29002,BYS29003,BYS29004,BYS29005,BYS29006,BYS29007,BYS29008,BYS29009,BYS29010,BYS29011,BYS29012,BYS29013,BYS29014,BYS29015,BYS29016,BYS29017,BYS29018,BYS29019,BYS29020,BYS29021,BYS29022,BYS30001,BYS30002,BYS30003,BYS30004,BYS30005,BYS30006,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYS32011,BYS32012,BYS32013,BYS32014,BYS32015,BYS32016,BYS32017,BYS32018,BYS32019,BYS32020,BYS32021,BYS32022,BYS32023,BYS32024,BYS32025,BYS32026,BYS32027,BYS32028,BYS32029,BYS32030,BYS32031,BYS32032,BYS32033,BYS32034,BYS32035,BYS32036,BYS32037,BYS32038,BYS32039,BYS32040,BYS32041,BYS32042,BYS32043,BYS32044,BYS32045,BYS32046,BYS32047,BYS32048,BYS32049,BYS32050,BYS32051,BYS32052,BYS32053,BYS32054,BYS32055,BYS32056,BYS32057,BYS32058,BYSCLASS
5635,3771,2,1045,377,56351,1,,1,2,,,6,,3,3,3,4,3,4,5,3,3,3,3,3,,1,2,2,2,3,4,4,5,3,4,4,5,1,2,-5,-5,1,11,2,-5,-5,1,101,2,-5,-5,2,-5,4,1,1,-5,-5,1,3,4,3,2,2,2,3,1,5,3,4,4,3,2,4,1,3,9,3,1,1,3,1,4,1,3,6,1,2,1,5,2,1,4,3,4,4,6,2,5,2,3,1,3,3,1,1,1,3,1,2,1,5,3,3,2,3,2,2,1,5,3,4,3,2,2,,,1,1,3,1,1,3,2,-5,-5,1,1,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,3,2,-5,2,-5,1,1,210404-1,A03040-12,8,1,45,2,2,1,5,1,9,1,4,-5,3,1,,,,,,,1,1,1,30505,3,3,3,1,11122601,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,2,-5,,,1,3,2,-5,1,2,2,-5,1,2,1,1,1,1,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,2,3,3,3,5,3,3,4,1,6,3,4,4,4,4,4,4,1,9,4,2,7,161,60,2,5,6,1,3,2,2,1,1,1,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,5,4,4,4,3,4,5,0,9.5,2,101009,300003,540001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,740001,110001,200001,400032,400015,700001,-4,-4,-4,-4,-4,-4,-4,-4,-4,220015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5636,3514,2,252,351,56361,1,,1,1,,,4,,4,3,2,2,3,5,4,4,4,4,4,2,,1,1,1,1,4,4,4,4,4,4,4,1,3,2,-5,-5,1,16,2,-5,-5,2,-5,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,4,4,3,2,2,3,1,4,4,3,4,4,2,3,1,3,4,4,3,2,3,3,4,1,3,6,1,2,1,2,2,1,4,4,2,2,2,2,2,2,1,3,2,1,1,2,1,2,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,,,1,1,3,1,3,4,1,1,4,2,-5,-5,1,5,4,2,-5,-5,2,-5,-5,2,-5,-5,4,3,2,-5,2,-5,2,-5,-5,-5,-5,1,84,2,3,2,-5,1,4,1,3,-5,3,1,,,,,,,1,1,1,20305,3,4,3,1,11120501,1,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,2,,,2,-5,1,3,2,-5,2,-5,2,-5,1,1,1,1,7,11,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,3,4,3,4,3,4,4,1,6,3,4,4,3,3,3,3,1,4,2,2,1,165,49,2,3,5,1,3,2,2,2,1,1,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,3,0,2,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,1,2,4,4,4,4,3,4,4,0,25.9,1,220011,300003,110001,220021,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5637,3831,2,452,383,56371,1,,1,1,,,3,,4,4,3,4,1,3,3,3,2,3,2,2,,1,1,1,1,4,2,3,4,4,3,4,4,6,2,-5,-5,2,-5,1,-4,22,2,-5,2,-5,-5,2,-5,5,1,1,-5,-5,1,5,5,5,5,4,2,5,1,4,5,5,5,4,2,5,1,3,2,3,3,3,3,4,2,3,2,5,3,13,3,13,2,1,4,4,1,4,2,2,2,2,1,1,2,1,1,2,1,1,1,4,4,3,3,5,4,3,3,3,4,5,5,5,5,4,2,,,2,-5,-5,1,2,2,1,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,2,2,-5,2,-5,1,2,210404-1,A03040-12,7,1,45,4,4,2,-5,9,1,2,4,-5,3,1,,,,,,,6,1,1,30401,4,4,4,1,11110103,2,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,4,,,2,-5,1,3,1,4,2,-5,1,4,1,1,1,1,11,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,9,4,4,3,5,4,5,5,1,1,4,4,4,2,3,4,3,9,1,5,2,7,160,53,2,3,5,1,3,3,1,1,3,1,1,2,1,1,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,4,4,3,5,4,5,5,0,22,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3
5638,3331,1,252,333,56381,1,,1,1,,,2,,2,2,2,3,3,4,2,3,2,3,3,2,,1,1,1,1,3,4,3,4,4,5,4,1,4,2,-5,-5,1,15,2,-5,-5,2,-5,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,4,4,4,5,3,4,1,4,4,4,4,5,3,4,1,5,4,3,2,2,3,3,3,1,3,5,2,8,2,5,4,1,1,2,2,6,6,3,3,4,3,2,2,2,3,2,1,3,1,4,4,3,2,3,3,2,2,4,4,2,2,2,2,4,4,,,2,-5,-5,2,-5,-5,1,1,5,2,-5,-5,1,1,5,2,-5,-5,2,-5,-5,2,-5,-5,4,8,2,-5,2,-5,2,-5,-5,-5,-5,1,15,3,3,1,2,4,1,1,4,-5,4,1,,,,,,,2,1,1,20101,4,4,4,1,12210101,4,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,2,,,1,4,1,2,1,2,2,-5,1,3,1,1,1,1,11,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,9,3,4,3,4,4,4,4,1,6,4,4,4,4,4,4,3,4,1,4,1,7,172,60,2,4,5,1,2,2,2,2,2,1,2,2,2,-5,1,5,1,1,2,-5,-5,-5,0,0,2,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,1,2,2,3,3,4,3,4,4,1,90,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,500024,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,110001,101008,700005,220017,300005,220001,540001,750002,-4,-4,-4,-4,-4,-4,-4,3
5641,3564,1,451,356,56411,1,,1,2,,,3,,4,4,3,1,4,2,3,4,3,4,4,3,,1,1,1,1,3,4,4,5,3,5,5,1,3,1,1,1,1,28,2,-5,-5,1,313,2,-5,-5,2,-5,5,1,1,-5,-5,1,5,5,5,5,3,2,5,1,5,4,5,5,4,2,4,1,3,2,4,2,2,2,3,3,1,2,3,3,13,2,13,3,1,2,3,1,2,5,3,2,2,2,1,2,2,1,1,1,2,2,2,2,5,5,3,3,5,5,2,2,2,2,2,2,4,3,,,1,1,2,1,1,2,1,1,2,1,1,2,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,7,1,1,1,1,2,-5,-5,-5,-5,1,45,5,5,1,4,1,3,1,5,-5,4,1,,,,,,,2,1,1,30505,4,5,5,1,11120701,4,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,3,,,2,-5,1,4,2,-5,2,-5,1,5,1,1,1,1,12,3,1,1,4,1,1,1,1,1,2000,2,3,4,1,2,1,4,2,3,5,3,5,4,1,7,5,5,5,5,4,4,3,1,3,2,1,7,170,60,2,4,4,1,3,3,2,1,2,1,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,5,3,3,5,3,4,5,1,12.2,2,400005,300020,300021,530001,400010,220001,300005,740001,110001,500001,-4,-4,-4,-4,-4,600009,120001,220012,540001,700031,700032,400032,400015,101008,610004,700005,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5642,3741,1,2272,374,56421,1,,2,1,,,3,,3,3,3,4,3,2,2,4,4,2,3,3,,2,2,2,2,5,3,2,4,4,4,5,1,3,2,-5,-5,1,21,2,-5,-5,2,-5,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,4,4,3,3,2,5,1,4,4,4,4,3,2,4,1,4,4,3,2,1,1,1,2,5,2,5,2,3,2,1,1,1,4,5,2,1,2,2,4,2,3,1,2,1,1,1,1,3,1,3,3,3,2,3,2,4,2,4,3,5,3,3,2,3,3,,,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,2,2,-5,2,-5,2,-5,-5,-5,-5,1,84,4,2,2,-5,1,8,1,3,-5,3,6,,,,,,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,1,2,-5,,,2,-5,2,-5,1,3,2,-5,2,-5,2,1,2,2,3,7,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,8,2,3,2,3,3,4,3,1,1,2,4,3,2,2,4,3,1,4,2,1,7,171,67,2,3,5,1,3,3,2,1,1,1,1,1,2,-5,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,2,3,3,3,3,3,3,0,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,400016,520001,101008,220001,220021,300005,710002,700005,500024,-4,-4,-4,-4,-4,-4,3
5645,3451,1,2127,345,56451,1,,1,1,,,3,,3,4,2,4,3,3,4,4,2,4,3,1,,1,1,1,1,3,3,4,5,4,4,4,1,3,2,-5,-5,2,-5,1,16,22,1,101,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,2,4,3,3,2,3,1,5,4,4,4,4,3,4,1,4,2,4,4,3,4,3,1,1,2,4,5,13,5,13,3,1,3,4,2,3,6,3,2,2,2,2,2,2,1,1,1,3,2,3,3,1,1,4,4,1,1,4,4,3,3,3,3,4,4,,,1,1,3,2,-5,-5,1,1,2,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,5,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,1,,,,,,,1,1,1,20101,3,4,4,1,11122801,1,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,-5,,,2,-5,1,4,1,3,2,-5,2,-5,1,1,1,1,12,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,3,3,4,4,3,4,4,1,7,4,4,4,4,4,4,3,7,2,2,1,7,175,60,2,3,6,1,3,3,2,2,1,2,2,2,2,-5,1,3,1,2,2,-5,-5,-5,5,2,2,-5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,2,2,3,4,4,4,3,4,4,0,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,500025,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5646,3492,1,1849,349,56461,1,,1,1,,,9,,3,3,3,2,3,4,3,2,3,3,3,2,,2,1,2,2,1,3,3,4,2,4,4,1,9,2,-5,-5,1,30,2,-5,-5,2,-5,2,-5,-5,2,-5,2,1,1,-5,-5,1,2,4,3,2,2,2,3,1,3,4,2,4,2,2,4,1,3,2,4,1,1,2,1,4,1,2,5,4,2,2,4,2,1,4,1,2,2,4,1,2,2,2,2,1,1,1,2,1,2,1,3,2,4,2,4,2,2,2,3,2,4,2,3,3,5,4,,,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,1,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,,,,,,,1,1,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,2,-5,,,2,-5,2,-5,2,-5,2,-5,2,-5,1,1,1,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,3,3,2,2,4,4,1,2,3,2,3,3,2,3,1,1,2,4,1,7,178,68,2,4,6,2,2,3,3,1,2,1,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,1,0,2,-5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,2,4,3,3,3,4,3,1,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,710002,220016,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,101001,600009,700001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5647,3352,1,1583,335,56471,2,,2,1,,,8,,3,2,3,4,4,4,3,4,4,5,5,2,,1,2,1,1,1,4,4,3,1,5,2,1,6,2,-5,-5,1,26,2,-5,-5,2,-5,2,-5,-5,2,-5,3,1,1,-5,-5,1,4,4,3,2,1,4,4,1,2,3,2,2,4,4,4,1,3,4,4,2,2,3,4,6,3,5,6,2,8,2,8,4,1,5,3,4,2,4,2,5,2,2,4,2,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,4,,,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,1,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,,,,,,,5,2,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,1,3,,,1,2,1,2,2,-5,2,-5,2,-5,1,1,1,2,7,7,1,1,2,2,1,10,2,2,40000,2,3,4,9,3,1,1,4,4,2,2,4,2,1,6,4,4,4,3,3,4,1,2,1,1,1,2,160,50,2,3,4,3,3,4,3,3,1,1,2,3,2,-5,1,4,1,3,1,1,2002,1,50,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,2,3,3,3,1,4,3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,530001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,300003,700001,750001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5648,3432,2,462,343,56481,1,,1,1,,,9,,4,4,3,2,2,2,3,4,5,2,3,1,,1,2,1,2,4,4,4,4,4,4,4,3,4,2,-5,-5,2,-5,1,-4,25,1,101,2,-5,-5,2,-5,4,1,1,-5,-5,1,5,3,5,4,1,1,5,1,5,2,5,4,1,1,5,1,4,4,3,3,2,2,1,2,3,1,3,2,13,1,2,1,1,4,4,1,5,5,2,2,2,1,1,2,1,1,1,1,2,1,4,2,4,4,4,4,2,1,3,2,5,5,2,2,3,3,,,1,6,2,1,6,2,1,6,2,2,-5,-5,1,6,2,2,-5,-5,2,-5,-5,2,-5,-5,3,3,2,-5,2,-5,2,-5,-5,-5,-5,1,45,3,2,1,5,6,3,2,3,-5,3,1,,,,,,,1,1,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,1,2,,,2,-5,2,-5,1,2,2,-5,2,-5,2,1,1,2,12,11,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,9,4,4,2,2,3,4,4,1,2,2,3,4,2,3,4,3,1,4,4,2,1,160,48,2,2,6,1,3,2,2,1,1,2,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,4,3,4,5,3,5,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3
5649,3842,1,1682,384,56491,1,,1,2,,,4,,4,5,3,1,3,4,5,5,5,3,3,5,,1,1,1,1,3,4,4,3,3,5,4,1,4,2,-5,-5,2,-5,1,16,26,1,101,2,-5,-5,2,-5,5,1,1,-5,-5,1,4,4,4,4,3,2,5,1,4,3,4,5,4,2,4,1,4,1,5,3,3,4,5,2,1,2,3,3,4,5,4,1,1,2,4,1,3,1,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,4,2,4,3,4,3,3,2,5,5,5,3,5,5,,,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,6,2,-5,2,-5,2,-5,-5,-5,-5,1,53,3,4,1,3,1,4,1,4,-5,3,1,,,,,,,3,1,1,20307,4,4,4,1,14620201,3,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,5,,,2,-5,2,-5,1,4,2,-5,2,-5,1,1,1,1,7,1,1,3,16,1,1,8,2,2,40000,6,2,4,1,7,10,3,4,4,5,3,5,4,1,1,4,5,5,3,3,4,4,4,5,2,1,2,175,95,1,5,5,1,3,3,2,2,1,1,2,2,2,-5,2,-5,1,1,2,-5,-5,-5,2,0,2,-5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,1,3,2,3,2,2,3,1,94.3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,101001,300015,910642,101008,220001,400033,700005,-4,-4,-4,-4,-4,-4,-4,-4,3
5650,3723,1,1264,372,56501,1,,1,2,,,1,,3,3,3,2,5,3,2,2,3,3,3,4,,1,2,1,1,3,3,4,3,5,5,5,5,4,2,-5,-5,2,-5,1,16,-4,1,312,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,4,4,3,2,3,5,1,5,5,4,4,4,3,5,1,3,5,4,2,2,3,3,3,1,2,4,1,4,2,13,1,1,2,4,2,2,2,2,3,2,2,2,4,2,1,2,1,2,2,3,1,3,2,4,3,4,3,3,2,5,5,5,2,5,5,,,2,-5,-5,1,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,7,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,1,,,,,,,3,1,1,50206,3,4,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,2,-5,,,1,4,1,3,1,4,1,4,1,3,2,1,1,1,13,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,3,4,4,4,3,5,4,1,2,5,5,3,3,4,4,1,1,4,2,1,3,177,70,2,4,5,2,3,2,1,1,1,1,1,1,2,-5,2,-5,1,2,2,-5,-5,-5,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,4,3,4,3,4,4,0,75.1,1,500024,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,101001,210001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
5651,3513,1,1331,351,56511,1,,1,2,,,7,,3,2,3,5,5,5,4,5,4,2,4,4,,1,1,1,1,5,5,4,5,3,5,5,3,4,2,-5,-5,2,-5,2,-5,-5,2,-5,2,-5,-5,2,-5,5,1,1,-5,-5,1,5,2,5,2,3,1,5,1,5,3,5,3,4,1,5,2,-5,-5,4,2,2,2,2,2,1,1,6,2,13,2,5,2,1,1,4,1,2,6,2,2,2,2,3,2,1,4,1,1,3,1,1,1,1,1,1,1,5,3,1,1,4,2,3,1,3,1,,,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,3,1,1,2,-5,2,-5,-5,-5,-5,1,66,2,3,2,-5,3,9,1,3,-5,2,1,,,,,,,1,2,1,60102,3,4,3,1,24121902,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,1,,,2,-5,2,-5,2,-5,2,-5,2,-5,2,1,1,1,12,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,4,1,3,3,3,3,1,2,3,4,4,4,4,3,1,1,3,2,1,7,168,61,2,3,5,1,4,4,1,1,2,2,3,3,1,2,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,3,3,3,4,3,4,5,0,35,1,910642,500035,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,101007,400020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,400005,300019,300006,700006,700008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
